id,titulo,descricao,status,data
20,Residência sem energia elétrica.,Já tem mais de 15 dias que estou sem o fornecimento de energia.Fiz várias ligações com pedido de visita técnica e a empresa,Não respondida,Há 12 horas
21,Serasa,"Recebi hoje dia 2 de Fevereiro de 2024 uma notificação por e-mail no Serasa informando, que a light pediu a inclusão do meu nome g",Não respondida,Há 13 horas
22,Impedimento de cancelar solicitação,"Fiz por acidente a solicitação do cancelamento do contrato vigente, imediatamente liguei para empresa para cancelar a solicitação",Não respondida,Há 14 horas
23,Sobrecarregaram gerador com 2 prédios - falta de luz frequente,Toda semana acaba a luz aqui no prédio do Cond alfa barra 1. Prédio alfa Plaza(Rj - barra da Tijuca) Técnico de,Não respondida,Há 14 horas
24,"Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma","Fiz uma contestação com a Light, tanto na ouvidoria quanto no atendimento presencial (protocolo*******), a qual foi proferida, uma",Não respondida,Há 14 horas
25,DEMORA NA TROCA DA TITULARIDADE,"Estou tentando trocar a titularidade e não recebo nenhum retorno no email, fiz o primeiro pedido dia 12 de janeiro e o 2 foi dia 2",Não respondida,Há 14 horas
26,Falta de luz,"No dia 31/01/2024 faltou luz na minha minha rua devido a um fio partido, por causa de uma árvore. Entrei de pronto em contat",Não respondida,Há 14 horas
27,Relógio pegou fogo,"Relógio pegou fogo novamente, os moradores tiveram que apagar com extintor. Era 8h da manhã entrando em contato com a light.",Não respondida,Há 15 horas
28,Não tem como enviar comprovante de pagamento,"Paguei a minha conta de dezembro/23, mas eles não baixaram no sistema e ela consta como aberto ainda e não tem opção no Site Agenc",Não respondida,Há 15 horas
29,Uma vergonha essa empresa#,"Todo santo dia virou hábito de acabar a luz..estamos sem luz...não aguento mais,não está chovendo nem relampejando todo dia acaba",Não respondida,Há 15 horas
30,Sem energia desde o dia 31/01/2024,"Boa noite . Estou sem energia ja a quase 3 dias , é desumano o que essa empresa esta fazendo com os consumidores . Ramos na Av dos",Não respondida,Há 15 horas
31,Dificuldade na troca da titularidade,"Acabei de alugar um apartamento, cujo código de instalação é******* e estou tentando fazer a troca de titularidade pra religar a e",Não respondida,Há 16 horas
